ID,UserId,CourseId,Progress,StartDate,Completed,Title,Category,Total_enrollment,Total_Completions,completion_rate,Username,Department,Enrollments,Completions
EN0001,EMP073,COR1261,100,2022-01-01,1,High-Impact Business Writing,Business Essentials,694,601,86.59942363112391,Nicole Martin,Solution Consultant,23,16
EN0002,EMP297,COR0666,100,2022-01-01,1,Introduction to Cybersecurity Tools & Cyber Attacks,Cloud Computing,747,689,92.23560910307899,James Smith,Senior Software Engineer,26,19
EN0003,EMP224,COR1590,22,2022-01-01,0,Data Science with R - Capstone Project,Data Analysis,1881,1810,96.2254120148857,Zachary Schwartz,Software Engineer,18,11
EN0004,EMP233,COR0650,21,2022-01-01,0,"Foundations: Data, Data, Everywhere",Data Analysis,1849,1388,75.06760411032991,Emily Hill,Solution Consultant,29,22
EN0005,EMP297,COR0573,33,2022-01-01,0,Développement psychologique de l'enfant,Psychology,3927,2237,56.964604023427555,James Smith,Senior Software Engineer,26,19
EN0006,EMP159,COR1242,39,2022-01-02,0,Building Resilient Streaming Analytics Systems on Google Cloud,Cloud Computing,3886,2277,58.59495625321668,Gregory Schultz,Software Engineer,6,0
EN0007,EMP209,COR0428,100,2022-01-02,1,IBM Applied AI Professional Certificate,Machine Learning,4099,2267,55.306172237131015,Krista Walker,Senior Software Engineer,21,14
EN0008,EMP041,COR1943,100,2022-01-03,1,Leading Teams: Developing as a Leader,Leadership and Management,541,400,73.93715341959334,Cheryl Smith,Software Engineer,25,18
EN0009,EMP297,COR1721,18,2022-01-03,0,Machine Learning Foundations: A Case Study Approach,Machine Learning,3827,2939,76.79644630258689,James Smith,Senior Software Engineer,26,19
EN0010,EMP201,COR0965,36,2022-01-03,0,In the Studio: Postwar Abstract Painting,Music and Art,2374,1676,70.59814658803707,Kevin Martinez,Software Engineer,22,15
EN0011,EMP124,COR1548,100,2022-01-03,1,Python and Machine Learning for Asset Management,Finance,1717,982,57.19277810133955,Joshua Robinson,Senior Software Engineer,20,13
EN0012,EMP114,COR0687,1,2022-01-04,0,Programming for Everybody (Getting Started with Python),Software Development,4792,4453,92.92570951585977,Peggy Walker,Solution Consultant,7,0
EN0013,EMP163,COR1042,100,2022-01-04,1,Supply Chain Optimization,Business Strategy,2678,2284,85.28752800597461,Tanya Gould,Senior Software Engineer,27,20
EN0014,EMP149,COR1167,18,2022-01-04,0,Introduction to Software Testing,Software Development,2535,1664,65.64102564102564,Julia Barry,Senior Software Engineer,16,9
EN0015,EMP112,COR0399,100,2022-01-04,1,Introducción a la inteligencia artificial Specialization,Algorithms,208,192,92.3076923076923,Scott Long,Senior Software Engineer,27,20
EN0016,EMP194,COR1862,5,2022-01-04,0,Positive Psychology: Resilience Skills,Psychology,2857,1780,62.303115155757794,Donald Mcguire,Solution Enabler,22,15
EN0017,EMP046,COR0741,27,2022-01-05,0,Introduction to Financial Accounting,Business Essentials,229,117,51.09170305676856,James Olsen,Solution Enabler,22,15
EN0018,EMP274,COR0764,61,2022-01-05,0,Python Data Structures,Software Development,4402,3965,90.0726942298955,Kimberly Rodriguez,Senior Software Engineer,23,16
EN0019,EMP088,COR1019,100,2022-01-05,1,Fundamentals of Machine Learning for Healthcare,Machine Learning,1739,1297,74.58309373202991,Mrs. Rachel Clark,Software Engineer,22,15
EN0020,EMP228,COR0059,100,2022-01-05,1,Applied Data Science with Python Specialization,Data Analysis,779,413,53.01668806161746,Danielle Horne,Solution Enabler,24,17
EN0021,EMP215,COR0009,88,2022-01-05,0,Data Engineering Foundations Specialization,Data Management,489,288,58.895705521472394,Bradley Lin,Solution Enabler,13,6
EN0022,EMP175,COR0154,100,2022-01-06,1,Object Oriented Programming in Java Specialization,Software Development,4134,3091,74.77019835510401,Juan Edwards,Senior Software Engineer,13,6
EN0023,EMP297,COR0339,100,2022-01-06,1,Immunology: The Immune System and its Failures Specialization,Basic Science,2454,2453,99.95925020374898,James Smith,Senior Software Engineer,26,19
EN0024,EMP052,COR1843,4,2022-01-06,0,"AI Workflow: Machine Learning, Visual Recognition and NLP",Machine Learning,1138,1000,87.87346221441125,Alexandra Nguyen,Solution Enabler,19,12
EN0025,EMP251,COR0114,21,2022-01-07,0,Business Data Management and Communication Specialization,Data Analysis,1012,893,88.2411067193676,Samantha Cohen,Software Engineer,30,23
EN0026,EMP262,COR1283,100,2022-01-07,1,Software Processes and Agile Practices,Design and Product,2851,2345,82.25184145913714,Craig Duncan,Software Engineer,26,19
EN0027,EMP111,COR1220,44,2022-01-07,0,Managing Project Risks and Changes,Leadership and Management,4828,3562,73.77796188898095,Brandon Cantu,Solution Consultant,21,14
EN0028,EMP086,COR1991,100,2022-01-07,1,Think Again IV: How to Avoid Fallacies,Philosophy,2775,0,0.0,William Pearson,Software Engineer,24,17
EN0029,EMP228,COR0032,100,2022-01-07,1,Leading the Modern Day Business Specialization,Leadership and Management,2241,1419,63.31994645247657,Danielle Horne,Solution Enabler,24,17
EN0030,EMP255,COR1427,4,2022-01-08,0,Information Design,Design and Product,2394,1709,71.38680033416875,Alexa Greer,Software Engineer,9,2
EN0031,EMP231,COR0331,100,2022-01-08,1,Digital Transformation in Financial Services Specialization,Business Strategy,4341,3400,78.3229670582815,Sarah Morris,Solution Enabler,25,18
EN0032,EMP013,COR1454,56,2022-01-09,0,Content Strategy for Professionals: Engaging Audiences,Marketing,4054,2542,62.70350271336951,Joseph Williams,Senior Software Engineer,14,7
EN0033,EMP233,COR0304,100,2022-01-09,1,Developing Your Musicianship Specialization,Music and Art,1950,1477,75.74358974358975,Emily Hill,Solution Consultant,29,22
EN0034,EMP246,COR0344,100,2022-01-09,1,Claves de la Dirección de Empresas Specialization,Leadership and Management,813,424,52.152521525215256,Cindy Bauer,Senior Software Engineer,28,21
EN0035,EMP214,COR0053,100,2022-01-09,1,Digital Marketing Specialization,Marketing,2172,1696,78.08471454880295,Tara Scott,Software Engineer,24,17
EN0036,EMP115,COR1168,77,2022-01-10,0,"Everyday Excel, Part 1",Design and Product,852,807,94.71830985915493,Philip Hubbard,Software Engineer,2,0
EN0037,EMP136,COR1786,27,2022-01-10,0,Medical Terminology II,Basic Science,415,245,59.036144578313255,Patrick Andrews,Solution Consultant,29,22
EN0038,EMP213,COR0378,100,2022-01-10,1,Algebra: Elementary to Advanced Specialization,Math and Logic,2447,1440,58.84756845116469,Tracey Henson,Senior Software Engineer,14,7
EN0039,EMP191,COR1412,8,2022-01-10,0,Digitalisation in Space Research,Mechanical Engineering,967,692,71.56153050672181,Lauren Greer,Software Engineer,2,0
EN0040,EMP167,COR0759,34,2022-01-10,0,Data Analysis with Python,Data Analysis,4860,3955,81.37860082304526,Michael Wolfe,Solution Enabler,17,10
EN0041,EMP071,COR0725,96,2022-01-11,0,IT Security: Defense against the digital dark arts,Security,1326,1050,79.18552036199095,Timothy Martinez,Solution Consultant,30,23
